machine,day,failure
M-26,Day-09,4
M-26,Day-10,0
M-26,Day-11,0
M-26,Day-12,0
M-26,Day-13,0
M-26,Day-14,0
M-26,Day-15,0
M-27,Day-01,0
M-27,Day-02,0
M-27,Day-03,0
M-27,Day-04,0
M-27,Day-05,0
M-27,Day-06,9
M-27,Day-07,40
M-27,Day-08,41
M-27,Day-09,9
M-27,Day-10,0
M-27,Day-11,0
M-27,Day-12,0
M-27,Day-13,0
M-27,Day-14,0
M-27,Day-15,0
M-28,Day-01,0
M-28,Day-02,0
M-28,Day-03,0
M-28,Day-04,0
M-28,Day-05,0
M-28,Day-06,0
M-28,Day-07,0
M-28,Day-08,9
M-28,Day-09,41
M-28,Day-10,39
M-28,Day-11,9
M-28,Day-12,0
M-28,Day-13,0
M-28,Day-14,0
M-28,Day-15,0
M-29,Day-01,0
M-29,Day-02,0
M-29,Day-03,0
M-29,Day-04,5
M-29,Day-05,16
M-29,Day-06,28
M-29,Day-07,28
M-29,Day-08,14
M-29,Day-09,5
M-29,Day-10,0
M-29,Day-11,0
M-29,Day-12,0
M-29,Day-13,0
M-29,Day-14,0
M-29,Day-15,0
M-30,Day-01,0
M-30,Day-02,0
M-30,Day-03,0
M-30,Day-04,0
M-30,Day-05,0
M-30,Day-06,2
M-30,Day-07,44
M-30,Day-08,50
M-30,Day-09,2
M-30,Day-10,0
M-30,Day-11,0
M-30,Day-12,0
M-30,Day-13,0
M-30,Day-14,0
M-30,Day-15,0
